Organization Name,Organization Name URL,Categories,Description,CB Rank (Company),Number of Employees,Last Funding Date,Founded Date,Founded Date Precision,LinkedIn,Website,Contact Email,Phone Number,Hub Tags,Founders,Last Funding Type,Funding Status,Closed Date,Closed Date Precision,Number of Founders,Top 5 Investors,Price,Price Currency,Price Currency (in USD),Number of Acquisitions,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD)
Xianlai Youpin,https://www.crunchbase.com/organization/xianlai-youpin,E-Commerce,Xianlai Youpin is a community-based e-commerce platform.,"87,310",,2019-01-30,2016-01-01,year,,http://www.xianlaiyoupin.com/,,,,,Angel,Seed,,,,,,,,,30000000,USD,30000000
Arameye Ltd,https://www.crunchbase.com/organization/arameye-ltd,"E-Commerce, Smart Cities, Social Network",Arameye operates BEYOUM - City as a  platform,"87,341",1-10,2019-01-10,2015-09-04,day,,http://www.beyoum.com,info@arameye.com,+353 86 412 2592,,Sufian Al Aswad,Pre-Seed,Seed,,,1,,,,,,50000,EUR,57541
Tag Partners,https://www.crunchbase.com/organization/tag-partners,"E-Commerce, Information Technology, Innovation Management, Product Management, Professional Services, Retail Technology, Software","Specialists, strategists, product and software delivery along with start-ups and emerging tech to launch the companies of tomorrow.","87,743",1-10,2019-01-01,2018-08-01,day,https://www.linkedin.com/company/tagpartners,http://www.tagpartners.co,tagme@tagpartners.co,+61 (03) 9645 5921,,Stuart Oliver,Seed,Seed,,,1,,,,,,100000,AUD,70481
Stantt,https://www.crunchbase.com/organization/stantt,"E-Commerce, Fashion, Men's, Retail",Stantt is an e-commerce platform that focuses on men’s apparel.,"89,061",11-50,2019-01-01,2014-01-01,year,,https://stantt.com/,questions@stantt.com,(800) 556-3695,,"Kirk Keel, Matt Hornbuckle",Series A,Early Stage Venture,,,2,"Fernbrook Capital Management LLC, Harlem Capital Partners, Sapna Shah",,,,,,,
The Baby Box Co.,https://www.crunchbase.com/organization/the-baby-box-co,"Baby, E-Commerce, E-Learning",The Baby Box Co. brings a beloved 80 year old baby box tradition from Finland to expectant parents around the world.,"89,605",11-50,2019-03-27,2013-01-01,year,,http://www.babyboxco.com/,partners@thebabyboxco.com,844-422-2926,,"Jennifer Clary, Michelle Vick",Venture - Series Unknown,,,,2,"StartUp Health, Wavemaker Partners, Alpha Edison, Luminary Labs",,,,,,,
BeautyMNL,https://www.crunchbase.com/organization/beautymnl,"Beauty, Cosmetics, E-Commerce","BeautyMNL is the leading online beauty online marketplace in the Philippines, as well as the country’s largest home-grown e-commerce website","90,227",,2019-04-01,2014-01-01,year,https://www.linkedin.com/company/beautymnl/,https://beautymnl.com,,,,"Jay Liwanag, Kam Gamilla",Series A,Early Stage Venture,,,2,Openspace Ventures,,,,,,,
AllBlu,https://www.crunchbase.com/organization/allblu,E-Commerce,AllBlu is a children's clothing brand.,"91,179",,2019-01-02,2017-01-01,year,,,,,,,Seed,Seed,,,,Aqua Ventures,,,,,1454439,USD,1454439
Motorrevive,https://www.crunchbase.com/organization/motorrevive,"Consumer Goods, E-Commerce, Manufacturing",Motorrevive manufacture innovative car and motorcycle cleaning products.,"91,343",1-10,2019-05-15,2018-06-01,month,https://www.linkedin.com/company/motorrevive/about/,https://motorrevive.com/,info@motorrevive.com,911 23 23 29,,"Alvaro Martin Rivera, Javier Benito Aguilar",Debt Financing,,,,2,Lanzadera Accelerator,,,,,65000,EUR,72847
Bokksu,https://www.crunchbase.com/organization/bokksu,"E-Commerce, Food and Beverage, Snack Food, Subscription Service",Bokksu is the leading e-commerce and media platform for international food discovery and authentic storytelling.,"91,528",1-10,2019-03-13,2015-11-01,month,https://www.linkedin.com/company/bokksu,http://www.bokksu.com,hello@bokksu.com,,,Danny Taing,Seed,Seed,,,1,"Grand Central Tech, Republic Labs, Yakumi",,,,,,,
CloudFB,https://www.crunchbase.com/organization/cloudfb-8490,"E-Commerce, Food and Beverage, Marketplace",B2B ecommerce & fulfilment platform for the food & beverage industry in China.,"91,636",1-10,2019-03-01,2017-09-01,day,,http://www.cloudfb.cn,,,,"Albert Xiang, Derek Bushaw",Angel,Seed,,,2,,,,,,300000,USD,300000
Middletrust,https://www.crunchbase.com/organization/middletrust,"E-Commerce, Financial Services, FinTech, Internet, Payments",Not your usual online escrow service provider. Middletrust is an Escrow service on steroids.,"91,853",1-10,2019-03-16,2018-12-17,day,https://linkedin.com/company/middletrust,https://www.middletrust.com,hello@middletrust.com,+2349026599327,,"Dipesh Mishra, Ojadua Efe, Peter Atenaga",Pre-Seed,Seed,,,3,,,,,,5000,USD,5000
GoyPick,https://www.crunchbase.com/organization/goypick,"E-Commerce, Logistics, Retail, Robotics, Shipping",Robotic Stores for your Ecommerce,"92,050",1-10,2019-04-02,2018-02-18,day,https://www.linkedin.com/company/goypick/,http://goypick.com,contacto@goypick.com,+59892129899,,"GERARDO ESTRAMIL, JUAN URRABURU",Debt Financing,,,,2,ANII,,,,,100000,USD,100000
GrowSari,https://www.crunchbase.com/organization/growsari,"E-Commerce, Internet",Growsari is helping to build the future of Sari Sari stores in the Philippines. ,"92,788",101-250,2019-05-13,2015-01-01,year,https://www.linkedin.com/company/growsari/,http://www.growsari.com/,,,,ER Rollan,Venture - Series Unknown,,,,1,"Wavemaker Partners, JG Digital Equity Ventures",,,,,,,
Dermi Joy skincare,https://www.crunchbase.com/organization/dermi-joy-skincare,"Beauty, E-Commerce",Dermi Joy skincare is a local skincare brand that manufactures all natural cosmetics.,"92,916",,2019-04-10,1988-01-01,year,,,,,,,Seed,Seed,,,,,,,,,1000000,KES,9890
DIY.AZ,https://www.crunchbase.com/organization/diy-az,"E-Commerce, Education, Electronics",Educational electronics store,"93,088",1-10,2019-01-01,2019-01-01,day,,https://diy.az/,,+994 50 322 34 31,,,Pre-Seed,M&A,,,,,,,,,25000,AZN,14684
Cub McPaws,https://www.crunchbase.com/organization/cub-mcpaws,"E-Commerce, Fashion",Cub McPaws is a kids clothing brand.,"93,504",,2019-02-01,2018-01-01,year,https://www.linkedin.com/company/cub-mcpaws/,https://www.cubmcpaws.com/,care@cubmcpaws.com,91-8779925527,,,Seed,Seed,,,,Venture Catalysts,,,,,300000,USD,300000
The Shonet,https://www.crunchbase.com/organization/the-shonet,"Beauty, Digital Media, E-Commerce, Fashion, Information Technology, Social Media, Social Media Marketing, Social Network","The Shonet is the leading expert social network for fashion, beauty, and lifestyle in Indonesia","94,409",11-50,2019-03-05,2017-05-01,day,https://www.linkedin.com/company/13276822/,https://www.theshonet.com/home,hello@theshonet.com,,,Elisabeth Kurniawan,Seed,Seed,,,1,Maloekoe Ventures,,,,,,,
Zhenlian,https://www.crunchbase.com/organization/zhenlian,"E-Commerce, Health Care",Zhenlian is an E-commerce operators focusing on grassroots clinic information services,"94,609",,2019-05-08,2018-01-01,year,,,,,,,Angel,Seed,,,,Qitai Capital,,,,,2000000,CNY,294854
Lehua Interactive,https://www.crunchbase.com/organization/lehua-interactive,"Building Material, E-Commerce, Government, Internet, Real Estate, Software",Lehua Interactive is a Chinese public rental mobile service platform.,"95,191",,2019-01-11,2016-01-01,year,,,,,,,Angel,Seed,,,,,,,,,4500000,CNY,665414
COLONVO,https://www.crunchbase.com/organization/colonvo,"E-Commerce, Eyewear, Retail",COLONVO is a brand of glasses.,"95,746",1-10,2019-05-15,2016-01-01,year,https://www.linkedin.com/company/colonvo,https://colonvo.com,hello@colonvo.com,,,Juanma Botías,Debt Financing,,,,1,Lanzadera Accelerator,,,,,43640,EUR,48908
adopets,https://www.crunchbase.com/organization/adopets,"E-Commerce, Pet",Adopets is an end-to-end pet adoption platform and recommendation engine for pet parents looking to adopt a new pet.,"95,761",1-10,2019-02-04,2016-01-01,year,https://www.linkedin.com/company/adopets,https://www.adopets.com,contact@adopets.com,(415) 858-3095,,Artur Sousa,Pre-Seed,Seed,,,1,Techstars,,,,,,,
Xiaobai Entertainment,https://www.crunchbase.com/organization/xiaobai-entertainment,"E-Commerce, Media and Entertainment",Xiaobai Entertainment is a children's brand agent.,"96,641",,2019-03-08,2016-01-01,year,,,,,,,Seed,Seed,,,,Xiaobai Capital,,,,,10000000,CNY,1487763
Krowd,https://www.crunchbase.com/organization/krowdit,"E-Commerce, Information Technology, Payments",Krowd to help people sift through the millions of products and services online.,"96,813",,2019-02-01,2016-01-01,year,https://www.linkedin.com/company/krowd,http://krowdit.com/,,,,"Bilal Al-Qureshi, Omar Rafii",Pre-Seed,Seed,,,2,"Techstars, Barclays Ventures, Dubai Angel Investors, Barclays Accelerator, powered by Techstars - London",,,,,,,
Eanovation,https://www.crunchbase.com/organization/eanovation,"Construction, E-Commerce, Home Improvement, Software","Your automated project manager for home renovation. We provide standardized packages for design, construction and materials.","98,171",1-10,2019-05-01,2019-01-01,year,,https://www.eanovation.com,support@redfinovation.com,,,"J C, Stella Wu",Seed,Seed,,,2,,,,,,,,
DOOgether,https://www.crunchbase.com/organization/doogether,"Apps, E-Commerce, Fitness, Lifestyle, Wellness",Doogether is the leading sport booking platform to Indonesia’s largest fitness network,"98,589",1-10,2019-04-22,2016-01-01,month,https://www.linkedin.com/company/doogether,https://doogether.id/,info@doogether.id,,,Fauzan Gani,Seed,Seed,,,1,"Gobi Partners, EverHaüs, Prasetia Dwidharma, Erick Thohir",,,,,,,
Xplorabox,https://www.crunchbase.com/organization/xplorabox,"E-Commerce, Education, Health Care",Xplorabox is as an educational activity box subscription startup aiming to revolutionize the early education industry.,"99,370",11-50,2019-05-23,2015-08-01,month,,https://www.xplorabox.com/,hello@xplorabox.com,+91 9818 336 734,,"Dhirendra Meena, Rishabh Gupta, Rishi Das Agarwal",Angel,Seed,,,3,"Z Nation Lab, JITO Angel Network, SucSEED Venture Partners, Metaform Ventures, Swan Angel Network",,,,,,,
Sock Fancy,https://www.crunchbase.com/organization/sock-fancy,"E-Commerce, Fashion, Product Design",Sock Fancy is an online platform that delivers a box of random socks every month for a subscription fee.,"99,476",11-50,2019-05-16,2013-01-01,year,https://www.linkedin.com/company/sockfancy,http://www.sockfancy.com/,info@sockfancy.com,(470) 440-3591,,,Pre-Seed,Seed,,,,Beyond The Game Network,,,,,,,
Popshop Live,https://www.crunchbase.com/organization/popshop-live,"E-Commerce, Video Streaming",Popshop live is a mobile live streaming marketplace where talented individuals can create and host their own shopping channel.,"99,865",1-10,2019-05-25,2016-03-25,day,https://www.linkedin.com/company/popshop-live/,http://www.popshop.live/,hello@popshop.live,,,Danielle Li,Seed,Seed,,,1,"CRCM Ventures, Watertower Ventures, AET Fund, Amadeo Brenninkmeijer",,,,,,,
9 Count,https://www.crunchbase.com/organization/9-count,"Association, Communities, E-Commerce, Non Profit",We are on a mission to create the world’s best online community.,"100,309",1-10,2019-01-07,2018-12-01,month,,https://9count.co,,,,Alex Hofmann,Seed,Seed,,,1,"GGV Capital, CRCM Ventures",,,,,,,
Evolve Snacks,https://www.crunchbase.com/organization/evolve-snacks,"E-Commerce, Food and Beverage",Evolve Snacks develops and provides healthy snacks online at lowest price.,"100,521",,2019-04-22,,,,https://evolvesnacks.com,admin@evolvesnacks.com,011-41101577,,,Seed,Seed,,,,"50K Ventures, ITI Growth Opportunities Fund",,,,,,,
Norrländska Vapenaffären,https://www.crunchbase.com/organization/norrländska-vapenaffären,E-Commerce,Norrländska Vapenaffären operating a number of vertical e-commerce operations.,"100,976",,2019-01-17,,,,,,,,,Venture - Series Unknown,,,,,"Rutger Arnhult, Mikael Gottschlich, Patrik Tillman",,,,,10000000,SEK,1109073
UbiGo,https://www.crunchbase.com/organization/ubigo,"E-Commerce, Travel","UbiGo deals, packs and delivers attractive, everyday travel to major cities, organizations and businesses in a single, flexible.","101,151",,2019-03-18,2014-01-01,year,https://www.linkedin.com/company/ubigo/?,http://www.UbiGo.me,support@ubigo.me,0770-220 522,,,Seed,Seed,,,,Via ID,,,,,,,
Fotisto,https://www.crunchbase.com/organization/fotisto,"Artificial Intelligence, Content Creators, CRM, E-Commerce, Marketplace, Photography, SaaS",Fotisto is a marketplace that uses AI and Cloud-based tools to bridge clients with photographers/videographers.,"101,268",1-10,2019-02-01,2018-03-01,day,https://www.linkedin.com/company/fotistopk,https://www.fotisto.pk/,info@fotisto.pk,+92-3314098-783,,Haider Tariq Rashid Awan,Pre-Seed,Seed,,,1,,,,,,15000,USD,15000
Zonos,https://www.crunchbase.com/organization/zonos,"E-Commerce, Information Technology, Insurance, Mobile","SaaS, eCommerce, Cross-Border, Payment","102,181",11-50,2019-02-15,2009-10-01,day,https://linkedin.com/company/zonos/,https://zonos.com,inquire@zonos.com,(801) 869-8107,,Clint Reid,Debt Financing,,,,1,Bigfoot Capital,,,,,,,
Madame Dynamite,https://www.crunchbase.com/organization/madame-dynamite,"E-Commerce, Shoes","Madame Dynamite offers shoes specially created to dance Swing, with a careful retro design and made in Spain.","102,537",1-10,2019-01-14,2017-01-01,year,https://www.linkedin.com/company/madame-dynamite/about/,https://www.madamedynamite.es/en/,hola@madamedynamite.es,+34 636 36 91 36,,Mayte Ample,Debt Financing,,,,1,Lanzadera Accelerator,,,,,10215,EUR,11719
Lazy Dragon,https://www.crunchbase.com/organization/lazy-dragon,"Consumer Goods, E-Commerce, Food and Beverage",Lazy Dragon is a service provider in the egg industry.,"102,707",,2019-01-07,2017-01-01,year,,http://www.llegg.cn,,,,,Seed,Seed,,,,,,,,,5000000,CNY,729822
Book My Bai,https://www.crunchbase.com/organization/book-my-bai,"Child Care, E-Commerce, Elder Care, Human Resources",The new way to hire a trusted maid.,"103,364",11-50,2019-01-31,2015-05-01,month,https://www.linkedin.com/company/bookmybai-com,http://www.bookmybai.com/,contact@bookmybai.com,022-61717171,,"Anupam Sinhal, Vickash Chowdhury, Vikash Chowdhury",Seed,Seed,,,3,"50K Ventures, Villgro, Xseed Partners, ARUN Seed",,,,,,,
Tagalys,https://www.crunchbase.com/organization/tagalys,"E-Commerce, SaaS",Improving conversion with online merchandising,"104,643",1-10,2019-01-01,2018-05-01,month,https://www.linkedin.com/company/tagalys,https://www.tagalys.com/,cs@tagalys.com,,,"Antony Kattukaran, Palaniappan Chellapan",Venture - Series Unknown,,,,2,GenNext Ventures,,,,,,,
Cattlog,https://www.crunchbase.com/organization/cattlog,"E-Commerce, Internet",Cattlog is an online cattle marketplace that protects buyers and sellers with a clear contract and escrow payment services.,"104,743",,2019-01-03,2017-01-01,month,,http://www.cattlog.com,support@cattlog.com?__xts__=,+1 888-440-8049,,,Seed,Seed,,,,Innova Memphis,,,,,25000,USD,25000
New Manhattan,https://www.crunchbase.com/organization/new-manhattan,"E-Commerce, Fashion, Industrial Automation","Automated Tailoring Technology, Automation","104,874",1-10,2019-01-01,2018-10-11,day,https://www.linkedin.com/company/18898219/,https://www.new-manhattan.com,info@new-manhattan.com,,,,Pre-Seed,Seed,,,,Bob Stauffer,,,,,90000,USD,90000
Suckmysocks,https://www.crunchbase.com/organization/suckmysocks,"E-Commerce, Fashion","Suckmysocks offers the latest streetwear fashion trends in socks, from basic to the most trendy.","106,530",1-10,2019-01-14,2018-01-01,year,https://www.linkedin.com/company/suckmysocks/about/,https://suckmysocks.co/,info@suckmysocks.co,,,"Aday Falcone, Kevin Storm",Seed,Seed,,,2,Lanzadera Accelerator,,,,,1215,EUR,1393
SleepAA,https://www.crunchbase.com/organization/sleepaa,"Children, E-Commerce, Retail",SleepAA offers in its online shop textile articles for babies made with quality materials and endorsed by childcare professionals.,"108,932",1-10,2019-01-14,,,https://www.linkedin.com/company/sleepaa/about/,https://www.sleepaa.com/en/,info@sleepaa.com,+34 672 719 013,,,Debt Financing,,,,,Lanzadera Accelerator,,,,,9300,EUR,10670
Global Data Consortium,https://www.crunchbase.com/organization/global-data-consortium,"Analytics, E-Commerce, Information Technology, Internet, iOS, Software",Global Data Consortium enables global commerce for the world’s 4 billion digital consumers by creating trusted transactions.,"109,062",11-50,2019-04-08,,,,http://globaldataconsortium.com/,support@globaldataconsortium.com,888.949.4389,,,Venture - Series Unknown,,,,,VilCap Investments,,,,,,,
Risk42 Software,https://www.crunchbase.com/organization/risk-42-software,"E-Commerce, Financial Services, Fraud Detection, Payments, Risk Management, Software","Risk42 Software offers a sophisticated risk management platform for E-Commerce, Telecoms, Financial Services and Banks.","109,100",11-50,2019-03-19,2018-09-22,day,https://www.linkedin.com/company/risk42/,https://risk42.com,contact@risk42.com,+49 (40) 20933 2220,,"Mario Elstner, Roberto Valerio, Simon Schenk",Seed,Seed,,,3,"CHECK24 Ventures, Cinco Capital",,,,,,,
Yuanmei,https://www.crunchbase.com/organization/willmei-technology,E-Commerce,Yuanmei is a live e-commerce platform,"109,203",,2019-03-19,,,,http://www.imyuanmei.com/,,,,,Angel,Seed,,,,,,,,,,,
Cartful Solutions,https://www.crunchbase.com/organization/cartful-solutions,"E-Commerce, Information Technology, Internet",Cartful Solutions improves eCommerce conversion and shopper satisfaction by delivering a more persuasive product.,"110,033",1-10,2019-05-01,2015-01-01,year,https://www.linkedin.com/company/cartful-solutions,https://www.cartfulsolutions.com/,,,,"Darren Gruber, Hosein Yeh, Timothy Petrella",Seed,Seed,,,3,Fitz Gate Ventures,,,,,,,
BETAFASHION,https://www.crunchbase.com/organization/betafashion,"E-Commerce, Fashion, Predictive Analytics, SaaS, Sales Automation, Software","SaaS, B2B, Fashion, predictive analytics, automation","110,425",1-10,2019-04-01,2018-12-01,month,https://www.linkedin.com/company/12664482/admin/,https://beta.fashion,sr@beta.fashion,+491721630588,,"Mauricio Warchaftig, Sebastian Rieder, Stefan Vob",Pre-Seed,Seed,,,3,APX Axel Springer and Porsche,,,,,,,
Pflegix,https://www.crunchbase.com/organization/pflegix,"E-Commerce, Elder Care, Health Care, Home Health Care, Online Portals","Pflegix, an online marketplace for finding helpers.","110,428",1-10,2019-04-08,2016-08-01,month,https://www.linkedin.com/company/pflegix/,https://www.pflegix.de/,hallo@pflegix.de,+4923029839710,,"Andreas Helget, Tim Kahrmann",Series A,Early Stage Venture,,,2,Europ Assistance,,,,1,,,
Judolaunch,https://www.crunchbase.com/organization/judolaunch,"E-Commerce, Internet, Marketplace",Judolaunch is a product launch platform for ecommerce businesses expanding to new foreign markets,"110,594",11-50,2019-01-29,2016-06-02,day,https://www.linkedin.com/company/judolaunch/,https://www.judolaunch.com,hello@judolaunch.com,,,Chris Rawlings,Seed,Seed,,,1,"500 Startups, SOSV, Chinaccelerator, Haitao Capital",,,,,,,
Cashew,https://www.crunchbase.com/organization/cashew-2675,"Banking, E-Commerce, Mobile, Mobile Apps, Software",Cashew allows banks to turn their mobile applications into a means of payment with Point-of-Sale financing functionality.,"111,868",11-50,2019-03-31,2018-01-01,year,https://www.linkedin.com/company/cashewfintech/,https://cashew.me/,info@cashew.me,+375-44-714-85-35,,"Ina Samovich, Vladimir Serzhanovich",Pre-Seed,Seed,,,2,Techstars,,,,,,,
"WISHUPON, Inc.",https://www.crunchbase.com/organization/wishupon-inc,"Apps, Artificial Intelligence, E-Commerce, Fashion, Mobile, Shopping",WISHUPON is a universal shopping wishlist.,"114,582",1-10,2019-01-21,2015-06-09,day,https://www.linkedin.com/company/wishupon,http://www.wishupon.app,hello@wsupon.com,,,"Danbee Lee, Jihyung Kang",Seed,Seed,,,2,"NEOPLY, Lotte Accelerator, KEB Hana Bank, Small and Medium Business Administration, Seoul Business Agency",,,,,,,
Zhixian Technology,https://www.crunchbase.com/organization/zhixian-technology,"E-Commerce, Real Estate",Zhixian Technology is a furniture e-commerce firm.,"114,680",,2019-01-03,2018-01-01,year,,,,,,,Angel,Seed,,,,Oriental Fortune Capital,,,,,300000,USD,300000
GorillaSpace,https://www.crunchbase.com/organization/gorillaspace-co,"B2B, Collaborative Consumption, Commercial Real Estate, Coworking, E-Commerce, E-Commerce Platforms, Real Estate",GorillaSpace is the marketplace of choice for all your workspace needs.,"116,043",1-10,2019-05-27,2017-01-01,day,https://www.linkedin.com/company/gorillaspace/,https://gorillaspace.co,support@gorillaspace.co,+65 3163 6839,,"Ben Eckblad, Ginny Eckblad",Seed,Seed,,,2,"Mitsubishi Estate, Silversea Media Group, Propell Asia",,,,,,,
Biandan Gouwu,https://www.crunchbase.com/organization/biandan-gouwu,E-Commerce,Biandan Gouwu is an e-procurement platform for retailers.,"116,167",,2019-01-21,2015-01-01,year,,,,,,,Series A,Early Stage Venture,,,,,,,,,1473000,USD,1473000
Juna Network Technology,https://www.crunchbase.com/organization/juna-network-technology,E-Commerce,Juna Network Technology is an experience marketing service platform.,"117,124",,2019-01-02,2016-01-01,year,,,,,,,Angel,Seed,,,,,,,,,1454439,USD,1454439
CustomFit.ai,https://www.crunchbase.com/organization/customfit-ai,"Artificial Intelligence, E-Commerce, Enterprise Software, Information Technology, Internet, Internet of Things, Mobile Apps, Personalization, SaaS",CustomFit.ai transforms your website/app into #1 Growth Engine by putting precise personalization at the center of your marketing & sales.,"118,026",,2019-01-01,2019-01-01,year,https://www.linkedin.com/company/customfitai/,https://customfit.ai,reach@customfit.ai,,,"Ashwin Kumar, Shoaib Mohammed",Pre-Seed,Seed,,,2,,,,,,,,
Dai,https://www.crunchbase.com/organization/dai-6a98,"E-Commerce, Fashion, Retail, Sustainability",Dai is an innovative womenswear brand designing sustainable tailored performance wear.,"118,573",,2019-04-01,2017-01-01,year,https://www.linkedin.com/company/daiwear/,https://daiwear.com/,hi@daiwear.com,,,Joanna Dai,Venture - Series Unknown,,,,1,"Tom Singh, Redrice Ventures, Arnaud Massenet, Jonathan Heilbron",,,,,,,
ShoeSize.Me,https://www.crunchbase.com/organization/shoesize-me-ag,"E-Commerce, Internet, Shoes",ShoeSize.Me AG provides a plug-in to online shoe shops that generates the optimum shoe size recommendation for any online shopper.,"119,357",11-50,2019-04-30,2012-11-26,day,http://www.linkedin.com/company/3214942,http://www.shoesize.me,info@shoesize.me,+41 43 508 36 76,,Timo Steitz,Seed,Seed,,,1,"GoBeyond, BAGi",,,,,,,
SellerOps,https://www.crunchbase.com/organization/sellerops,"Artificial Intelligence, B2B, E-Commerce, Marketing Automation, Marketplace, Software",Helping online businesses sell better with artificial intelligence and human collaboration,"119,526",1-10,2019-05-16,2018-06-16,day,https://www.linkedin.com/company/selleroperation,http://www.sellerops.com,Contact@sellerops.com,,,"Joseph Cohen, Oz Joseph, Uri Steinfeld",Pre-Seed,Seed,,,3,Spinach Angels,,,,,,,
FindMyAdventure,https://www.crunchbase.com/organization/findmyadventure,"Adventure Travel, E-Commerce, Internet, Marketplace, Messaging, Tourism, Travel",FindMyAdventure.pk is a two-sided online domestic Pakistani tourism marketplace aiming to homogenize the industry,"119,820",11-50,2019-03-13,2016-08-01,day,https://www.linkedin.com/company/13260621/,http://www.findmyadventure.pk,team@findmyadventure.pk,0333-0596362,,Muhammad Komail Abbas,Seed,Seed,,,1,,,,,,,,
MassBlurb,https://www.crunchbase.com/organization/massblurb,"E-Commerce, SaaS",Mass Blurb runs an SaaS-based online marketing startup focused on restaurants,"120,523",51-100,2019-01-01,2014-06-01,day,https://www.linkedin.com/pub/mass-blurb/a6/b35/a66,http://www.massblurb.com/,contact@massblurb.com,17342772527,,"Pankit Chheda, Sanket Shah",Venture - Series Unknown,M&A,,,2,"LetsVenture, Mumbai Angels, AdvantEdge Founders, Abhimanyu Munjal, Vikram Chachra",,,,,,,
yellowpop,https://www.crunchbase.com/organization/yellowpop,"E-Commerce, Internet",Yellowpop specialise in wall art with a focus on handcrafted neon signs,"120,782",1-10,2019-03-09,2018-01-10,day,https://www.linkedin.com/company/yellowpop/about/,http://www.yellowpop.co,studio@yellowpop.co,,,"Jeremy Cortial, Ruben Grigri",Seed,Seed,,,2,,,,,,,,
Miabamba,https://www.crunchbase.com/organization/miabamba,"E-Commerce, Fashion, Women's",Miabamba designs accessories  for a modern woman.,"122,285",1-10,2019-01-14,2016-01-01,year,https://www.linkedin.com/company/miabamba/about/,https://www.miabamba.com,leshop@miabamba.com,,,"Carla Sanchez Postigo, Leticia Lorena Puertas",Debt Financing,,,,2,Lanzadera Accelerator,,,,,9645,EUR,11065
Che Brothers,https://www.crunchbase.com/organization/che-brothers,"E-Commerce, Space Travel, Transportation",Che Brothers is an auto parts marketplace and after-sales maintenance service platform.,"123,517",,2019-02-11,2018-01-01,year,,,,,,,Seed,Seed,,,,Tianjin Renai Capital,,,,,1484000,USD,1484000
Relevon,https://www.crunchbase.com/organization/relevon,"Big Data, Business Intelligence, E-Commerce, Marketing, Marketing Automation",Relevon is the customer marketing platform that enables retailers scale through real-time omnichannel personalization.,"124,141",11-50,2019-05-24,2019-01-01,year,,https://relevon.io,hello@relevon.io,,,Andrei Negrau,Seed,Seed,,,1,,,,,,,,
Sary,https://www.crunchbase.com/organization/sary,"E-Commerce, Internet, Retail Technology, Wholesale",Sary is an on-demand wholesale marketplace that empowers people to buy bulk and save seamlessly.,"124,545",11-50,2019-04-29,2018-01-01,year,https://www.linkedin.com/company/saryapp/,https://www.sary.to,info@sary.to,,,"Khaled Alsiari, Mohammed Aldossary",Seed,Seed,,,2,Musaab Hakami,,,,,,,
Wisp,https://www.crunchbase.com/organization/wisp-74b1,E-Commerce,"Meds prescribed online, discreetly packaged & delivered to you.","124,677",,2019-05-01,,,,https://www.hellowisp.com/,support@hellowisp.com,,,,Pre-Seed,Seed,,,,LAUNCH,,,,,,,
Alpha'a,https://www.crunchbase.com/organization/geração-alpha,"Art, B2B, E-Commerce, Internet, Marketplace","Arts for purpose platform, connecting artists to audiences and using the visual arts to empower change","126,213",1-10,2019-01-02,2014-06-06,day,,https://www.alphaainc.com/,contato@geracaoalpha.com,,,"Manuela Seve, Renata Thome",Seed,Seed,,,2,"Nex Cubed, New Age Capital, Firstrock Capital",,,,,,,
Bright River,https://www.crunchbase.com/organization/bright-river,"3D Technology, E-Commerce, Photo Editing, Professional Services, Video Editing","Bright River (formerly MisterClipping.com) offers complex image editing, video editing, and 3D modeling services.","126,255",501-1000,2019-02-13,2013-01-01,year,https://www.linkedin.com/company/misterclipping-com/,https://www.bright-river.com/,support@bright-river.com,+31235421530,,"David Jonkers, Jeroen Gerretsen, Pieter Bas van de Pol",Venture - Series Unknown,,,,3,Pride Technologies,,,,,,,
Altress,https://www.crunchbase.com/organization/altress,"E-Commerce, Fashion","Customized, on-demand women's fashion with accessible price and quick-fire delivery","128,011",1-10,2019-02-28,2017-01-01,year,https://www.linkedin.com/company/altress/,http://www.altress.com,,,,Kimberly Barasch,Seed,Seed,,,1,,,,,,,,
Aircnc,https://www.crunchbase.com/organization/aircnc,"Apps, B2B, E-Commerce, Internet, Marketplace","Aircnc is an innovative startup that deals with the development of a platform for sharing machine processing hours, a B2B marketplace.","128,631",1-10,2019-01-01,2018-01-01,year,https://www.linkedin.com/company/aircncsrl/,http://www.aircnc.it,info@aircnc.it,,,Alberto Bernasconi,Seed,Seed,,,1,Digital Magics,,,,,,,
Begin Health,https://www.crunchbase.com/organization/begin-294c,"Consumer Goods, E-Commerce, Food and Beverage, Manufacturing",Begin manufactures organic infant and toddler nutrition products delivered direct-to-consumer.,"129,131",,2019-04-01,2018-09-27,day,,http://www.whenwebegin.com,,,,Madeline Lauf,Seed,Seed,,,1,UpHonest Capital,,,,,,,
RapidBox,https://www.crunchbase.com/organization/rapidbox,"E-Commerce, Fashion, Internet",RapidBox is a community focused Social Commerce Company.,"129,156",11-50,2019-01-01,2019-01-01,year,https://www.linkedin.com/company/rapidbox/,,,8880004724,,Arun Paliwal,Seed,Seed,,,1,India Quotient,,,,,,,
Sendbox,https://www.crunchbase.com/organization/sendbox,"E-Commerce, E-Commerce Platforms, Shipping, Software",Infrastructure for peer-to-peer social commerce,"129,491",1-10,2019-03-26,2016-06-04,day,,https://sendbox.ng,admin@sendbox.ng,,,Segun Afolahan,Venture - Series Unknown,,,,1,Microtraction,,,,,,,
