Organization Name,Organization Name URL,Categories,Description,CB Rank (Company),Number of Employees,Last Funding Date,Founded Date,Founded Date Precision,Investment Stage,Company Type,LinkedIn,Website,Contact Email,Phone Number,Hub Tags,Founders,Last Funding Type,Funding Status,Closed Date,Closed Date Precision,Number of Founders,Top 5 Investors,Price,Price Currency,Price Currency (in USD),Number of Acquisitions,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD)
Kalibrr,https://www.crunchbase.com/organization/kalibrr,"Employment, Recruiting, Skill Assessment",Kalibrr connects talent and opportunity at scale in emerging markets.,"9,408",11-50,2019-03-12,2012-01-01,year,,For Profit,http://www.linkedin.com/company/kalibrr-technology-ventures,http://www.kalibrr.com,hello@kalibrr.com,+63 2 508 0027,,"Danny Castonguay, Dexter Ligot-Gordon, Paul Rivera",Convertible Note,,,,3,"Y Combinator, FundersClub, Omidyar Network, Wavemaker Partners, Learn Capital",,,,,,,
JobLab,https://www.crunchbase.com/organization/joblab,"Lifestyle, Recruiting, Staffing Agency",JobLab helps business find great candidates instantly.,"38,856",1-10,2019-03-06,2014-11-18,day,,For Profit,https://www.linkedin.com/company/9236102,http://www.joblab.com,hello@joblab.com,+01923772543,,"Aidan Cramer, Matt Sinderberry",Equity Crowdfunding,,,,2,"MassChallenge, Earlymarket",,,,,289880,GBP,382076
Mamasan&Company,https://www.crunchbase.com/organization/mamasan-company,"Business Information Systems, Crowdfunding, Recruiting",Mamasan&Company operates BPO [Business Process Outsourcing] business by operation by home worker.,"469,739",,2019-03-05,2008-09-01,day,,,,https://mamabpo.jp,,,,,Corporate Round,,,,,SATT,,,,,,,
Moka,https://www.crunchbase.com/organization/moka-2,"Artificial Intelligence, Big Data, Consulting, Human Resources, Information Technology, Internet, Recruiting, SaaS, Software, Staffing Agency",Moka is a SaaS software that helps companies optimize their recruiting services and find the right talent for their business. ,"9,505",11-50,2019-03-04,2015-09-22,day,,For Profit,https://www.linkedin.com/company/10682922/,http://mokahr.com/,,,,"Guoxing Li, Orion Zhao",Series B,Early Stage Venture,,,2,"GGV Capital, GSR Ventures, Hillhouse Capital Group, Xianghe Capital",,,,,180000000,CNY,26836832
MyEdu,https://www.crunchbase.com/organization/myedu,"Education, Employment, Identity Management, Recruiting",MyEdu is a web app that helps students receive job and internship opportunities by creating personalized graduation plans and profiles.,"12,248",51-100,2019-03-04,2009-01-01,year,,,https://www.linkedin.com/company/myedu/,http://www.myedu.com,,646-747-7149,,"Chris Chilek, John Cunningham, Karen Holst, Michael Crosno",Venture - Series Unknown,M&A,,,4,"Bain Capital Ventures, The University of Texas System, Baylor Angel Network",,,,,20000000,USD,20000000
Pickr,https://www.crunchbase.com/organization/pickr-a0e0,"Recruiting, Staffing Agency",Pickr is an on-demand staffing platform for people and businesses to connect and work together.,"35,744",11-50,2019-03-04,2016-01-01,year,,For Profit,https://in.linkedin.com/company/pickr-works,https://pickr.works/,hello@pickr.works,,,Kane Halsey,Seed,Seed,,,1,"Episode 1, Nick Kingsbury",,,,,1000000,GBP,1317696
Rankmi,https://www.crunchbase.com/organization/rankmi,"Human Resources, Recruiting, Training","Rankmi is a web platfom where companies can assess, manage and develop their leaders.","36,639",51-100,2019-03-01,2014-08-01,day,,For Profit,https://www.linkedin.com/company/rankmi-com/,http://www.rankmi.com,enrique@rankmi.com,+56 2 2405 3064,,"Enrique Besa, Felipe Andres Alvarado Mundaca",Series A,Early Stage Venture,,,2,Beagle Ventures,,,,,1500000,USD,1500000
VincuVentas,https://www.crunchbase.com/organization/vincuventas,"Analytics, Artificial Intelligence, Big Data, Commercial, CRM, Human Resources, Information Technology, Recruiting, Staffing Agency",Using data-driven matching to revolutionize recruitment in Latin America.,"56,114",11-50,2019-03-01,2014-01-01,year,,For Profit,https://www.linkedin.com/company/vincuventas,http://vincuventas.com/,trabajos@vincuventas.com,(031)508-8448,,"Bart Verschoor, Carolina Medina, Nicolás Gómez, Pedro Olarte, Victor Baumann",Convertible Note,Seed,,,5,"Polymath Ventures, INVX",,,,,135000,USD,135000
FirstConnect,https://www.crunchbase.com/organization/firstconnect,"Health Care, Recruiting",First Connect is a Business foundation that supports rapid growth.,"67,169",,2019-03-01,2014-04-01,month,,,,http://firstconnect.co.jp/,,,,,Corporate Round,,,,,North Pacific Bank,,,,,50000000,JPY,446769
Jobcase,https://www.crunchbase.com/organization/jobcase-inc,"Big Data, Employment, Machine Learning, Recruiting, Social Media",Social media platform dedicated to empowering America's workforce,"3,263",101-250,2019-02-27,2009-01-01,year,,For Profit,https://www.linkedin.com/company/1376097/,http://www.jobcase.com,fjgoff@jobcase.com,617-758-2001,,Frederick Goff,Private Equity,Private Equity,,,1,"Providence Equity Partners, Link Ventures, Providence Strategic Growth, BrownSavano Direct Capital Partners",,,,,100000000,USD,100000000
ThriveMap,https://www.crunchbase.com/organization/thrivemap,"Employment, Information Technology, Recruiting, Software, Staffing Agency",ThriveMap is a recruitment software tool.,"45,684",1-10,2019-02-27,2016-01-01,year,,For Profit,https://www.linkedin.com/company/thrivemap/,https://thrivemap.io/,hello@getthrivemap.com, +44(0)207 193 8668,,Christopher Platts,Seed,Seed,,,1,"The FSE Group, L Marks, Stuart Marks, Drive, Coast to Capital Growth Equity Fund",,,,,500000,GBP,665877
Qingtuanshe,https://www.crunchbase.com/organization/qingtuanshe,"Apps, Consulting, Recruiting",Qingtuanshe offers an app that connects university students with part-time jobs.,"53,451",11-50,2019-02-27,2013-01-01,year,,For Profit,,http://www.qtshe.com/,business@qtshe.com,(400)806-5035,,"Jianbo Deng, Xinxuan Wang",Series B,Early Stage Venture,,,2,"Ant Financial, Zhubajie, SDIC Fund Management, Poly Capital",,,,,,,
Aviate,https://www.crunchbase.com/organization/aviate-education,"Education, Internet, Recruiting",Aviate is a platform for employability-enhancement and placement services for india's college students and graduates.,"112,543",1-10,2019-02-22,2019-02-13,day,,For Profit,https://www.linkedin.com/company/aviate-education/?viewAsMember=true,http://aviateweb.com,rishi@aviateweb.com,,,"Kundan Kumar, Rishi Raj Rahul",Angel,Seed,,,2,"Ravish Naresh, Pushkar Singh, Abhimanyu Dhamija, Sanchit Saraf",,,,,,,
KAKEAI,https://www.crunchbase.com/organization/kakeai,"Artificial Intelligence, Recruiting, Task Management","KAKEAI, an AIcloud system that improves the status of member management in the middle management layer as its main business.","281,225",,2019-02-18,2018-04-12,day,,,,https://company.kakeai.com/,,,,,Venture - Series Unknown,,,,,Mobile Internet Capital,,,,,50000000,JPY,452089
SkiLLaz,https://www.crunchbase.com/organization/skillaz,Recruiting,SkiLLaz is a web company that allows customers to post jobs in order to find qualified applicants.,"172,394",11-50,2019-02-15,2015-01-01,year,,For Profit,https://www.linkedin.com/company/skillaz,http://skillaz.co,,+0800123456,,"Andrei Krylov, Gregor Dudash",Series B,Early Stage Venture,,,2,"HeadHunter, Anna Serebryanikova, Sergey Soldatenkov",,,,,,,
Wurk,https://www.crunchbase.com/organization/wurk,"Enterprise Software, Human Resources, Information Technology, Mobile, Recruiting, Small and Medium Businesses, Software",Wurk provides employee management solutions for highly regulated industries solving unique industries challenges related to HR and Payroll.,"2,234",51-100,2019-02-12,2015-08-01,day,,For Profit,https://www.linkedin.com/company/6590514,http://www.enjoywurk.com,ir@enjoywurk.com,(833) 365-9875,,"Eric Fraser, Keegan Peterson",Venture - Series Unknown,,,,2,"Arcview Group, CanopyBoulder, Poseidon Asset Management, Altitude Investment Management, Phyto Partners",,,,1,11000000,USD,11000000
Jobvite,https://www.crunchbase.com/organization/jobvite,"Human Resources, Recruiting, Social Media, Software",Jobvite offers a comprehensive and analytics-driven recruiting platform.,"1,291",101-250,2019-02-11,2006-01-01,year,,For Profit,http://www.linkedin.com/company/jobvite,https://www.jobvite.com,,1-855-315-HIRE (4473),,"Hans Larsen, Jesper Schultz",Private Equity,Private Equity,,,2,"K1 Investment Management, Catalyst Investors, Trident Capital, ATA Ventures, CMEA Capital",,,,3,200000000,USD,200000000
MyJobMatcher.com,https://www.crunchbase.com/organization/myjobmatcher-com,"Employment, Human Resources, Online Portals, Recruiting, Software, Staffing Agency",MyJobMatcher is an easy-to-use job matching system that intelligently matches jobs to candidates using their uploaded resumes.,"22,532",11-50,2019-02-05,2011-11-11,day,,For Profit,https://www.linkedin.com/company/2567018,http://myjobmatcher.com,info@myjobmatcher.com,08452 303029,,"Arran James Stewart, Paul Sloyan",Series B,Early Stage Venture,,,2,,,,,2,5200000,USD,5200000
Packback,https://www.crunchbase.com/organization/packback-books,"Big Data, Education, Recruiting",Packback is a Q&A learning platform powered by a proprietary A.I. to quantify and improve critical thinking skills in college students.,"9,717",11-50,2019-01-29,2013-01-01,year,,For Profit,http://www.linkedin.com/company/2838886,http://www.packback.co,holla@packback.co,,,"Jessica Tenuta, Kasey Gandham, Mike Shannon, Nick Currier",Series B,Early Stage Venture,,,4,"SeedInvest, Mark Cuban, Hyde Park Angels (HPA), Wildcat Capital Management, University Ventures",,,,,2500000,USD,2500000
Shortlist,https://www.crunchbase.com/organization/shortlist-5,"Financial Services, Recruiting, Software",A Passion for unlocking professionals.,"3,150",11-50,2019-01-28,2016-01-01,year,,For Profit,https://www.linkedin.com/company/10049167/,https://www.shortlist.net/,careers@shortlist.net,,,"Matt Schnuck, Paul Breloff",Series A,Early Stage Venture,,,2,"Spike Ventures, University Ventures, Zephyr Management, Blue Haven Initiative, Compass Venture Capital",,,,1,2000000,USD,2000000
Vangst,https://www.crunchbase.com/organization/vangst,"Cannabis, Employment, Human Resources, Recruiting",Vangst is a recruiting platform that connects companies with the talent they need.,"47,875",101-250,2019-01-24,2016-01-01,year,,For Profit,https://www.linkedin.com/company/vangst/,https://vangst.com/,karson@vangst.com,1(720)588-3852,,Karson Humiston,Series A,Early Stage Venture,,,1,"Lerer Hippeau, Casa Verde Capital, Ross Mason, Colle Capital Partners",,,,,10000000,USD,10000000
Andela,https://www.crunchbase.com/organization/andela,"B2B, Consulting, Human Resources, Information Technology, Internet, Recruiting, Small and Medium Businesses, Software, Training",Andela is solving the global technical talent shortage by building distributed engineering teams with Africa’s top software developers.,193,1001-5000,2019-01-23,2014-01-01,year,,For Profit,https://www.linkedin.com/company/andela/,https://andela.com/,Info@Andela.com,+1 (888) 472-5913,,"Brice Steven Nkengsa, Christina Sass, Ian Carnevale, Iyinoluwa Aboyeji, Jeremy Johnson, Nadayar Enegesi",Series D,Late Stage Venture,,,6,"Salesforce Ventures, GV, Prudential Financial, Spark Capital, Omidyar Network",,,,,100000000,USD,100000000
Luminari,https://www.crunchbase.com/organization/luminari,"Employment, Recruiting, Staffing Agency",Luminari is a career management platform for CPAs (Chartered Professional Accountants).,"29,157",11-50,2019-01-22,2016-01-01,year,,For Profit,https://www.linkedin.com/company/luminari/,https://www.luminari.ai/,,,,"Adam Bercovici, Michael Kravshik, Ryan Fleisher",Seed,Seed,,,3,"Creative Destruction Lab, Ontario Centres of Excellence, Jean Desgagne",,,,,845000,USD,845000
TempaGoGo,https://www.crunchbase.com/organization/tempagogo,"Human Resources, Marketplace, Recruiting",Online temporary recruitment marketplace,"82,701",1-10,2019-01-22,2017-01-01,year,,For Profit,,https://www.tempagogo.com,support@tempagogo.com,0207 993 6464,,"Caroline Pegden, Phil Pegden",Seed,Seed,,,2,,,,,,150000,GBP,194340
Hackazouk,https://www.crunchbase.com/organization/hackazouk,"Consulting, Finance, Recruiting","Hackazouk is an HR Tech company that operates Official-Alumni.com, an alumni relationship management system in Japan .","276,165",,2019-01-16,2017-07-01,month,,For Profit,,https://hackazouk.com/,,,,,Venture - Series Unknown,,,,,"Dream Incubator, Shunsuke Sasaki",,,,,,,
Woven,https://www.crunchbase.com/organization/woven-4d30,"Artificial Intelligence, Recruiting, Software Engineering",Evidence-based developer hiring platform: High-growth teams find hidden gems with credentials-blind engineering scenarios,"24,835",1-10,2019-01-15,2017-01-01,year,,For Profit,https://www.linkedin.com/company/woven-teams/,http://www.woventeams.com,wes@woventeams.com,,,"Anthony Panozzo, Kyle Shipley, Wes Winham",Seed,Seed,,,3,"High Alpha, Ade Olonoh, John Qualls, Christopher Clapp",,,,1,425000,USD,425000
Cloud Dentistry,https://www.crunchbase.com/organization/cloud-dentistry,"Dental, Recruiting, Staffing Agency","Cloud Dentistry is an online interactive platform, for dental offices to connect with dental staff, in real time.","51,990",,2019-01-14,2014-01-01,year,,,https://in.linkedin.com/company/cloud-dentistry-llc,https://www.clouddentistry.com/,,,,,Seed,Seed,,,,MassChallenge,,,,,755000,USD,755000
Jitjatjo,https://www.crunchbase.com/organization/jitjatjo,"Hospitality, Machine Learning, Marketplace, Mobile Apps, Recruiting",The Human Powered contingent labor platform and staffing marketplace that leverages A.I. and Empathic Intelligence,"6,084",51-100,2019-01-11,2016-01-01,month,,For Profit,https://www.linkedin.com/company/jitjatjo,http://www.jitjatjo.com,hello@jjj.work,(212) 235-1234,,"Dominic Esposito, Ron McCulloch, Tim Chatfield",Series A,Early Stage Venture,,,3,"Morningside Technology Ventures, Rainmakers, RTL Group Investments",,,,,11000000,USD,11000000
Talentsoft,https://www.crunchbase.com/organization/talentsoft,"Analytics, Human Resources, Recruiting, SaaS, Software",Talentsoft is the European leader in cloud-based talent management and learning software.,"2,641",501-1000,2019-01-10,2007-01-01,year,,For Profit,http://www.linkedin.com/company/talentsoft,http://www.talentsoft.com,contact@talentsoft.com,+33 1 41 86 05 60,,"Alexandre Pachulski, Jean Stephane Arcis, Joel Bentolila",Series D,Late Stage Venture,,,3,"Goldman Sachs, Bpifrance, Francisco Partners, Seventure Partners, Highland Europe",,,,2,50000000,USD,50000000
Vilect AI,https://www.crunchbase.com/organization/vilect-as,"Artificial Intelligence, Human Resources, Recruiting",AI recruitment assistant that helps non-hr managers run high quality processes and hire the best candidates in record time,"61,707",1-10,2019-01-08,2016-09-01,day,,For Profit,https://www.linkedin.com/company/vilect/,http://www.vilect.ai,hallo@vilect.com,,,"Kristoffer Almeland, Nicolai Alexander Kirkeng Vennerød",Pre-Seed,Seed,,,2,"TRK Group, Arkwright X",,,,,3400000,NOK,398395
UrbanEngineer,https://www.crunchbase.com/organization/urban-engineer,"Cloud Computing, Employment, Enterprise Software, Mobile, Recruiting",Mobile and Web Application for instant booking on contract & full-time positions,"68,323",11-50,2019-01-05,2013-01-01,year,,For Profit,https://www.linkedin.com/company/3691971,https://urbanengineer.com,recruitingteam@urbanengineer.com,+1 (415) 884-2105,,"Bridget Shannon Cooper, Colleen Aljundi",Seed,Seed,,,2,Bridget Cooper,,,,,50000,USD,50000
Belong,https://www.crunchbase.com/organization/belong,"Big Data, Internet, Recruiting",Belong is a Bangalore-based recruitment startup,"2,101",11-50,2019-01-01,2014-01-01,year,,For Profit,https://www.linkedin.com/company/belong-co,https://belong.co/,hello@belong.co,,,"Rishabh Kaul, Sudheendra Chilappagari",Venture - Series Unknown,,,,2,"Sequoia Capital India, Blume Ventures, Matrix Partners India, Kunal Bahl, Rohit Bansal",,,,,,,
iimjobs.com,https://www.crunchbase.com/organization/iimjobs-com,"Human Resources, Recruiting, Staffing Agency",iimjobs.com is an exclusive online recruitment platform for middle and senior management positions in India.,"16,618",101-250,2019-01-01,2008-01-01,year,,For Profit,https://www.linkedin.com/company/338913?trk=prof-exp-company-name,http://www.iimjobs.com/registration/login.php,hello@iimjobs.com,91 11 9818 80805,,Tarun Matta,Venture - Series Unknown,M&A,,,1,"One97, India Quotient, Tracxn labs, AdvantEdge Founders, The Morpheus",810000000,INR,11628908,,,,
HiringThing,https://www.crunchbase.com/organization/hiringthing,"Human Resources, Recruiting, Social Recruiting, Software","HiringThing provides white label recruiting software that helps companies post jobs online, manage applicants and hire great employees.","18,308",11-50,2019-01-01,2012-03-01,day,,For Profit,http://www.linkedin.com/company/hiringthing,http://www.hiringthing.com,support@hiringthing.com,(888) 769-2023,,Joshua Siler,Seed,Seed,,,1,"Ryan Finley, Chris Finley, Babcock & Jenkins, John Crowe, Jeff Crowe",,,,,4500000,USD,4500000
Teamscope,https://www.crunchbase.com/organization/teamscope-2,"Analytics, Artificial Intelligence, Big Data, Human Resources, Machine Learning, Recruiting",A.I. driven talent analytics platform for executive search professionals,"30,052",1-10,2019-01-01,2015-06-01,day,,For Profit,https://www.linkedin.com/company/10611326,https://teamscope.io,alo@teamscope.io,+372 53 302 919,,"Alo Arro, Lauri Ilison, Tõnis Arro",Seed,Seed,,,3,"Techstars, Startup Wise Guys, Jaan Tallinn, Black Pearls VC",,,,,500000,EUR,573075
Frrole,https://www.crunchbase.com/organization/frrole,"Analytics, Artificial Intelligence, Big Data, Business Intelligence, Machine Learning, Natural Language Processing, Predictive Analytics, Recruiting, Skill Assessment, Social Media","Frrole is an AI-Powered Next-Gen Consumer Intelligence platform for marketers, analysts, product owners, recruiters, and sales folks.","30,860",1-10,2019-01-01,2012-01-01,year,,Non-profit,http://www.linkedin.com/company/frrole,https://frrole.ai,contact@frrole.com,91 96 8686 2350,,"Abhishek Vaid, Amarpreet Kalkat, Nishith Sharma",Venture - Series Unknown,,,,3,"Lighter Capital, Rajan Anandan, TLabs, SenseAI Ventures, India Internet Fund",,,,,,,
RemoteMore,https://www.crunchbase.com/organization/remotemore,"Marketplace, Recruiting, Software",RemoteMore connects companies with full-time remote developers.,"49,859",1-10,2019-01-01,2017-10-05,day,,For Profit,https://www.linkedin.com/company/remotemore/,https://remotemore.com/,boris.borisov@remotemore.com,0045 25274855,,Boris Borisov,Pre-Seed,Seed,,,1,APX Axel Springer and Porsche,,,,,50000,EUR,57307
SkyHive,https://www.crunchbase.com/organization/skyhive,"Analytics, Artificial Intelligence, Corporate Training, Enterprise Software, Human Resources, Machine Learning, Natural Language Processing, Recruiting, SaaS, Training",Skills-based AI technology for workforce reskilling and upskilling.,"67,220",11-50,2019-01-01,2017-01-01,year,,For Profit,https://www.linkedin.com/company/skyhive/,https://www.skyhive.io,hello@skyhive.io,,,Sean Hinton,Angel,Seed,,,1,,,,,,,,
WasabiJobs,https://www.crunchbase.com/organization/wasabijobs,"Human Resources, Information Technology, Recruiting","WasabiJobs intends to shake the recruitment of customer facing roles, placing the  candidate as central generator of value for the Company.","68,073",1-10,2019-01-01,2016-06-01,month,,For Profit,https://www.linkedin.com/company/wasabi-jobs/,https://wasabijobs.com,jcotonerfuster@wasabijobs.com,,,"Alfonso Luengo, Antonio Quiros",Seed,Seed,,,2,VERI SEED CAPITAL,,,,,125000,EUR,143268
My Ally,https://www.crunchbase.com/organization/skedool-it,"Artificial Intelligence, B2B, Computer Vision, Machine Learning, Recruiting, Scheduling, Software, Virtual Assistant",My Ally is a cutting edge B2B SaaS company focused on implementing AI to optimize recruiting.,"73,236",51-100,2019-01-01,2015-01-01,month,,For Profit,https://www.linkedin.com/company/4860318/,https://www.myally.ai,info@myally.ai,+1 415-915-3089,,"Deepti Yenireddy, Naveen Alluri",Venture - Series Unknown,,,,2,"Storm Ventures, Firebolt Ventures, Phanindra Sama, Eileses Capital, Saha Fund",,,,,,,
SKaaS,https://www.crunchbase.com/organization/skaas,"Recruiting, Skill Assessment",SKaaS is a logical approach to skills management.,"233,860",11-50,2019-01-01,2016-01-01,year,,For Profit,https://www.linkedin.com/company/skaas-technology-solutions-pvt-ltd/,https://skaas.guru/,contact@skaas.guru,+91-72990 66520,,,Venture - Series Unknown,,,,,Derbi Foundation,,,,,,,
